CarParkID,Location,Agency,Development
1,1.29375 103.85718,LTA,Suntec City
10,1.2995 103.84762,LTA,The Cathay
11,1.30151 103.83641,LTA,Cineleisure
12,1.30216 103.83601,LTA,Mandarin Hotel
13,1.30236 103.8349,LTA,Ngee Ann City
14,1.30366 103.83327,LTA,Wisma Atria
15,1.3048 103.83063,LTA,Wheelock Place
16,1.26421 103.82263,LTA,VivoCity P3
17,1.25017 103.83126,LTA,Sentosa
18,1.30491 103.83312,LTA,Tang Plaza
19,1.26426 103.82011,LTA,Harbourfront Centre
2,1.29115 103.85728,LTA,Marina Square
20,1.3071 103.83359,LTA,Far East Plaza
21,1.302 103.83975,LTA,Centrepoint
22,1.3006 103.84191,LTA,Concorde Hotel
23,1.30403 103.83206,LTA,ION Orchard
24,1.30084 103.83872,LTA,313@Somerset
26,1.25667 103.82012,LTA,Resorts World Sentosa
27,1.30072 103.83979,LTA,Orchard Central
29,1.28225028515239 103.858300275795,LTA,Marina Bay Sands
3,1.29382 103.85319,LTA,Raffles City
4,1.29011 103.85561,LTA,The Esplanade
43,1.3343 103.74282,LTA,Westgate
5,1.29251 103.86009,LTA,Millenia Singapore
50,1.26426 103.82164,LTA,VivoCity P2
51,1.30228007106279 103.841129960081,LTA,Holiday Inn
52,1.30048 103.83931,LTA,Orchard Gateway
53,1.334847 103.746815,LTA,IMM Building
54,1.33341 103.740088,LTA,JCube
55,1.3038 103.83585,LTA,Paragon
56,1.29027 103.85167,LTA,National Gallery
57,1.299781 103.84552,LTA,The Atrium@Orchard
58,1.37974 103.7644,LTA,Bukit Panjang Plaza
59,1.290678 103.84648,LTA,Clarke Quay
6,1.28944 103.86311,LTA,Singapore Flyer
60,1.306787 103.78843,LTA,The Star Vista
61,1.299748 103.85414,LTA,Bugis+
62,1.385126 103.74494,LTA,Lot One
63,1.352524 103.9447,LTA,Tampines Mall
64,1.350521 103.84859,LTA,Junction 8
65,1.3248 103.92939,LTA,Bedok Mall
66,1.2911 103.8502,LTA,Funan Mall
7,1.30135 103.84061,LTA,Orchard Point
8,1.30255 103.83739,LTA,The Heeren
9,1.30103 103.84503,LTA,Plaza Singapura
A0007,1.3053280313212745 103.82957069514487,URA,ANGULLIA PARK OFF STREET
A0011,1.2939260442319098 103.84886606187928,URA,ARMENIAN STREET OFF STREET
A0021,1.280790422979401 103.84717734239698,URA,AMOY STREET OFF STREET
A0024,1.3241651253846303 103.81389905715554,URA,ADAM ROAD FOOD CENTRE OFF STREET
A0046,1.3138928367737375 103.88178819343076,URA,ALJUNIED ROAD OFF STREET
A10,1.368632982 103.844524,HDB,BLK 201/202 ANG MO KIO STREET 22
A100,1.377987473 103.8426025,HDB,BLK 650 ANG MO KIO STREET 61
A11,1.367035534 103.8381811,HDB,BLK 223/226/226A-226D ANG MO KIO ST 22
A12,1.368509827 103.8386753,HDB,BLK 229/230 ANG MO KIO ST 22
A13,1.368000222 103.8368096,HDB,BLK 232/233 ANG MO KIO ST 22
A15,1.36696761 103.8404175,HDB,BLK 226E-226H ANG MO KIO ST 22
A2,1.366237056 103.8430464,HDB,BLK 206/207 ANG MO KIO STREET 22
A20,1.364943381 103.8484571,HDB,BLK 304/307/319 ANG MO KIO ST 31
A21,1.368127559 103.8463132,HDB,BLK 325/326/301 ANG MO KIO STREET 31
A24,1.364753412 103.8493977,HDB,BLK 338/340 ANG MO KIO ST 32
A25,1.362769307 103.8516275,HDB,BLK 330/337 ANG MO KIO AVE 8
A27,1.370363052 103.8383207,HDB,BLK 108/109/110 ANG MO KIO ST 11
A28,1.371649928 103.8374643,HDB,BLK 103/105/107 ANG MO KIO ST 11
A29,1.367361242 103.8487183,HDB,BLK 347 ANG MO KIO AVENUE 3
A30,1.370989747 103.842419,HDB,BLK 129/134 ANG MO KIO STREET 12
A31,1.370451119 103.8436999,HDB,BLK 119/128 ANG MO KIO ST 12
A33,1.369886364 103.8345405,HDB,BLK 253/254 ANG MO KIO STREET 21
A34,1.368356473 103.8516674,HDB,BLK 422/425 ANG MO KIO ST 42
A35,1.368646393 103.8540815,HDB,BLK 426/428/435 ANG MO KIO ST 43
A36,1.366407128 103.8552788,HDB,BLK 436/443/445 ANG MO KIO ST 43
A37,1.368113068 103.8555566,HDB,BLK 446/449/453 ANG MO KIO ST 43
A38,1.363963706 103.8545884,HDB,BLK 407/410/421 ANG MO KIO AVE 10
A39,1.361151022 103.8540722,HDB,BLK 401/405 ANG MO KIO AVE 10
A4,1.365691621 103.8411922,HDB,BLK 217/220 ANG MO KIO AVENUE 1
A40,1.362356151 103.8569821,HDB,BLK 471/476 ANG MO KIO ST 44
A41,1.364936935 103.8569326,HDB,BLK 466/470 ANG MO KIO ST 44
A42,1.366580182 103.8573639,HDB,BLK 461/465 ANG MO KIO ST 44
A43,1.365996736 103.8592673,HDB,BLK 457/458/460 ANG MO KIO ST 44
A44,1.367205743 103.8589905,HDB,BLK 459/456 ANG MO KIO ST 44
A45,1.370917693 103.8552305,HDB,BLK 570/578 ANG MO KIO ST 51
A47,1.370558167 103.8592466,HDB,BLK 562/565/560 ANG MO KIO STREET 54
A48,1.370371281 103.8546523,HDB,BLK 571/73 ANG MO KIO ST 51
A49,1.371329606 103.8577971,HDB,BLK 555/559 ANG MO KIO STREET 54
A50,1.372522464 103.8576096,HDB,BLK 548/552/556 ANG MO KIO STREET 54
A51,1.369470739 103.8343753,HDB,BLK 252/253A ANG MO KIO STREET 21
A52,1.370385433 103.8469225,HDB,BLK 701/716 ANG MO KIO AVE 3/6
A53,1.370865023 103.8468773,HDB,BLK 712A ANG MO KIO AVE 3/6
A54,1.372434359 103.8459154,HDB,BLK 727/728 ANG MO KIO AVE 6
A59,1.373896221 103.8581398,HDB,BLK 547/551 ANG MO KIO ST 54
A60,1.374464495 103.8559134,HDB,BLK 540/546 ANG MO KIO ST 54
A63,1.375176821 103.8493957,HDB,BLK 501/513/508 ANG MO KIO ST 52/53
A64,1.370506585 103.8534735,HDB,BLK 584/586 ANG MO KIO ST 51
A65,1.371029159 103.8594172,HDB,BLK 558/560 ANG MO KIO STREET 54
A66,1.380544931 103.8356606,HDB,BLK 601/604/603 ANG MO KIO AVE 5
A67,1.379686324 103.8378049,HDB,BLK 605/612 ANG MO KIO AVE 4/5
A68,1.381897619 103.8398542,HDB,BLK 620/624/626 ANG MO KIO ST 61
A69,1.381641458 103.8419454,HDB,BLK 623/625/627 ANG MO KIO ST 61
A7,1.368392487 103.8413018,HDB,BLK 212/213 ANG MO KIO STREET 23
A70,1.380620641 103.8401072,HDB,BLK 629/626 ANG MO KIO AVE 4
A71,1.380009094 103.8407419,HDB,BLK 628/632 ANG MO KIO ST 61
A72,1.380760963 103.8435303,HDB,BLK 633/640 ANG MO KIO ST 61
A73,1.378848189 103.8408247,HDB,BLK 641/645 ANG MO KIO ST 61
A74,1.37865168 103.8438047,HDB,BLK 646/649 ANG MO KIO ST 61
A75,1.376086591 103.8385877,HDB,BLK 177/182 ANG MO KIO AVE 4
A76,1.377977112 103.8388348,HDB,BLK 613A ANG MO KIO AVENUE 4
A77,1.376251001 103.8399554,HDB,BLK 150/156 ANG MO KIO AVE 5
A78,1.374648501 103.8383868,HDB,BLK 157/163 ANG MO KIO AVE 4
A8,1.368756071 103.8433077,HDB,BLK 209/210 ANG MO KIO STREET 22
A81,1.374355553 103.8364788,HDB,BLK 170/172 ANG MO KIO ST 13
A82,1.375674922 103.8363987,HDB,BLK 173/176 ANG MO KIO AVE 4
A85,1.365107378 103.8497094,HDB,BLK 340 ANG MO KIO ST 32
A87,1.366826359 103.8578842,HDB,BLK 462/463 ANG MO KIO ST 44
A88,1.366280716 103.8472665,HDB,BLK 348 ANG MO KIO AVE 3
A9,1.36807437 103.8443922,HDB,BLK 202/203 ANG MO KIO STREET 22
A94,1.371859827 103.838316,HDB,BLK 104C ANG MO KIO STREET 11
A98,1.369164311 103.8318542,HDB,BLK 259 ANG MO KIO AVE 2
ACB,1.301063272 103.854118,HDB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK
ACM,1.32100429 103.8850609,HDB,BLK 98A ALJUNIED CRESCENT
AH1,1.328283495 103.8446199,HDB,BLK 101 JALAN DUSUN
AM16,1.370349801 103.8357183,HDB,BLK 256A ANG MO KIO STREET 21
AM18,1.365540013 103.8446194,HDB,BLK 308C ANG MO KIO AVE 1
AM19,1.368886198 103.834531,HDB,BLK 260 ANG MO KIO ST 21
AM20,1.364697733 103.8460886,HDB,BLK 309B ANG MO KIO ST 31
AM22,1.364588291 103.847653,HDB,BLK 316B ANG MO KIO STREET 31
AM32,1.370532524 103.8343768,HDB,BLK 255A ANG MO KIO ST 21
AM43,1.368584224 103.8573099,HDB,BLK 455 ANG MO KIO ST 44
AM46,1.372178323 103.8533964,HDB,BLK 588 ANG MO KIO STREET 52
AM51,1.369915002 103.8466985,HDB,BLK 700 ANG MO KIO AVE 6
AM79,1.372358192 103.8513967,HDB,BLK 596 ANG MO KIO STREEET 52
AM80,1.37064699 103.8418615,HDB,BLK 130A ANG MO KIO ST 12
AM81,1.371639242 103.8419478,HDB,BLK 132A ANG MO KIO ST 12
AM96,1.364074149 103.8509404,HDB,BLK 352A ANG MO KIO STREET 32
AR1L,1.303876719 103.7826318,HDB,3 AND 5 DOVER ROAD
AR1M,1.302848684 103.7836668,HDB,BLK 2A DOVER ROAD
AR2L,1.305913234 103.7811547,HDB,BLK 26 AND 27 DOVER CRESCENT
AR2M,1.304738893 103.7816745,HDB,BLK 28 DOVER CRESCENT
AR5M,1.307343527 103.7844633,HDB,BLK 19A DOVER CRESCENT
AR7L,1.305807721 103.7855911,HDB,12 TO 14 DOVER CLOSE EAST
AR7M,1.304771377 103.785192,HDB,BLK 12A DOVER CLOSE EAST
AR9,1.307284363 103.7834396,HDB,BLK 20/22/23 DOVER CRESCENT
AV1,1.285582555 103.8032153,HDB,BLK 120/120A/121-127 ALEXANDRA VILLAGE
B0031,1.31411103114537 103.85960539693774,URA,BEATTY ROAD OFF STREET
B0032,1.3390889296394692 103.77639634689159,URA,BUKIT TIMAH MARKET OFF STREET
B0063,1.3473952305359211 103.76148104730633,URA,BUKIT BATOK NATURE PARK OFF STREET
B0087,1.3013034071461544 103.86037519945218,URA,BAGHDAD STREET OFF STREET
B0088,1.320882494257288 103.95521451777431,URA,BEDOK ROAD FOOD CENTRE OFF STREET
B0096,1.3413345543964925 103.7768692104473,URA,BUKIT TIMAH LINK OFF STREET
B10,1.329028331 103.9337077,HDB,BLK 404/413 BEDOK NORTH AVENUE 3
B11,1.328342005 103.9303962,HDB,BLK 416/418 BEDOK NORTH AVENUE 2
B14,1.329159093 103.9314451,HDB,BLK 412/413 BEDOK NORTH AVENUE 2
B16,1.323501118 103.9405595,HDB,BLK 32/63 BEDOK SOUTH AVENUE 2
B17,1.324217738 103.9418572,HDB,BLK 52/57 NEW UPPER CHANGI ROAD
B19,1.321924546 103.940961,HDB,BLK 37/38/43/60 BEDOK SOUTH ROAD
B20,1.319799714 103.9434204,HDB,BLK 67/73 BEDOK SOUTH ROAD
B21,1.328177963 103.9410465,HDB,BLK 74/82 BEDOK NORTH ROAD
B23T,1.332299108 103.9399783,HDB,BLK 90 BEDOK NORTH STREET 4
B24,1.33264716 103.9382946,HDB,BLK 84/89 BEDOK NORTH AVENUE 4
B25,1.332969119 103.9404903,HDB,BLK 91/97 BEDOK NORTH AVENUE 4
B26,1.334307987 103.9403406,HDB,BLK 98/100 BEDOK NORTH AVENUE 4
B27,1.334117747 103.9380381,HDB,BLK 101/106 BEDOK NORTH AVENUE 4
B28,1.33254479 103.9355711,HDB,BLK 107/110 BEDOK NORTH ROAD
B30,1.329942835 103.9387534,HDB,BLK 119/123 BEDOK NORTH STREET 2
B31,1.328501234 103.9388502,HDB,BLK 124/129 BEDOK NORTH STREET 2
B32,1.32741067 103.9367575,HDB,BLK 130/132 BEDOK NORTH STREET 2
B33,1.327240858 103.9358002,HDB,BLK 131/122 BEDOK NORTH AVENUE 3
B34,1.328312294 103.9356734,HDB,BLK 134/136 BEDOK NORTH AVENUE 3
B35,1.329058097 103.9351762,HDB,BLK 137/140 BEDOK NORTH AVENUE 3
B40,1.332549948 103.9327701,HDB,BLK 504/507 BEDOK NORTH STREET 3
B41,1.332554918 103.9314929,HDB,BLK 510 BEDOK NORTH STREET 3
B42,1.332451791 103.9308212,HDB,BLK 509/511 BEDOK NORTH STREET 3
B43,1.331105187 103.9276034,HDB,BLK 519/522 553 BEDOK NORTH AVENUE 1/2
B44,1.333971252 103.9275088,HDB,BLK 528/536 BEDOK NORTH STREET 3
B44B,1.332264404 103.9229186,HDB,BLKS 556/557 BEDOK NORTH STREET 3
B45,1.331679984 103.925429,HDB,BLK 537/539 BEDOK NORTH STREET 3
B46,1.331321224 103.924182,HDB,BLK 537/538 BEDOK NORTH STREET 3
B47,1.330895915 103.9222478,HDB,BLK 540/542 BEDOK NORTH STREET 3
B48,1.330095928 103.9234212,HDB,BLK 543/547 BEDOK NORTH STREET 3
B49,1.332185767 103.9266682,HDB,BLK 549/551 BEDOK NORTH AVENUE 1
B50,1.330447091 103.9130666,HDB,BLK 601/605 BEDOK RESERVOIR ROAD
B51,1.3321465 103.9163962,HDB,BLK 611/616 BEDOK RESERVOIR ROAD
B52,1.33390918 103.9178942,HDB,BLK 617/624 BEDOK RESERVOIR ROAD
B53,1.334251489 103.9151772,HDB,BLK 625/629 BEDOK RESERVOIR ROAD
B54,1.333363744 103.9152037,HDB,BLK 630/632 BEDOK RESERVOIR ROAD
B57,1.335843395 103.9190193,HDB,BLK 701/708 BEDOK RESERVOIR ROAD
B59,1.337459185 103.9259534,HDB,BLK 716/718/721 BEDOK RESERVOIR ROAD
B6,1.326330497 103.9303395,HDB,BLK 204/209 NEW UPPER CHANGI ROAD
B60,1.337194222 103.9290567,HDB,BLK 722/725 BEDOK RESERVOIR ROAD
B63,1.338153727 103.9226165,HDB,BLK 739/745 BEDOK RESERVOIR ROAD
B65,1.32003291 103.9456593,HDB,BLK 155/172 BEDOK SOUTH ROAD/AVE 3
B66,1.330548155 103.9043396,HDB,BLK 637A BEDOK RESERVOIR ROAD
B67,1.332015772 103.9063948,HDB,BLK 649A JALAN TENAGA
B69,1.333426184 103.9419707,HDB,BLK 94A BEDOK NORTH AVENUE 4
B7,1.32513124 103.9319217,HDB,BLK 211/218 BEDOK NORTH STREET 1
B70,1.326289845 103.9279955,HDB,BLK 201 BEDOK NORTH ST 1
B71,1.324293889 103.9243004,HDB,BLK 29C CHAI CHEE AVENUE
B72,1.33437706 103.9073898,HDB,BLK 660A JALAN TENAGA
B73,1.332492268 103.9069672,HDB,BLK 651A JALAN TENAGA
B74,1.332846853 103.9090553,HDB,BLK 671A JALAN DAMAI
B75,1.333038103 103.9175262,HDB,BLK 613C BEDOK RESERVOIR ROAD
B79,1.336776156 103.9374066,HDB,BLK 772A BEDOK RESERVOIR VIEW
B7A,1.327131692 103.934037,HDB,BLK 216/218 BEDOK NORTH ST 1
B7B,1.326521502 103.93484,HDB,BEDOK CENTRAL
B8,1.325881496 103.9282762,HDB,BLK 201/203 BEDOK NORTH STREET 1
B80,1.338268304 103.9233606,HDB,BLK 739A BEDOK RESERVOIR ROAD
B81,1.323211124 103.9349426,HDB,BLK 30A NEW UPPER CHANGI ROAD
B83,1.326469014 103.9222713,HDB,BLK 21A CHAI CHEE ROAD
B84,1.32622611 103.9342048,HDB,BLK 215A BEDOK CENTRAL
B85,1.326080246 103.9413578,HDB,BLK 184 BEDOK NORTH RD
B86,1.330720263 103.9355693,HDB,BLK 114A BEDOK NORTH ST 2
B88,1.322250932 103.938324,HDB,BLK 34A BED0K SOUTH AVE 2
B89,1.330959179 103.9372655,HDB,BLK 116A BEDOK NORTH ROAD
B9,1.330172709 103.9338152,HDB,BLK 402/403 BEDOK NORTH AVENUE 3
B90,1.322520623 103.9396488,HDB,BLK 35A BEDOK SOUTH AVE 2
B91,1.332797324 103.9142523,HDB,BLK 630 BEDOK RESERVOIR ROAD
B92,1.321697394 103.9339351,HDB,BLK 2A BEDOK SOUTH AVE 1
B94,1.332260166 103.9293574,HDB,BLK 513A BEDOK NORTH AVE 2
B94A,1.331303628 103.9291792,HDB,"BLK 512 TO 518, 554 BEDOK NORTH AVE 2"
B95,1.32551298 103.9350827,HDB,BLK 220 BEDOK CENTRAL
B96,1.32496629 103.9329516,HDB,BLK 219 BEDOK CENTRAL
B97,1.33615579 103.9235081,HDB,BLK 714A BEDOK RESERVOIR ROAD
B98,1.33607942 103.9219169,HDB,BLK 748 BEDOK RESERVOIR CRESCENT
B99M,1.327488075 103.9227613,HDB,BLK 807 CHAI CHEE ROAD
BBB,1.296580028 103.8536632,HDB,BLK 232 BRAS BASAH BASEMENT CAR PARK
BBM1,1.346436654 103.7453823,HDB,BLK 188A BUKIT BATOK WEST AVE 6
BBM2,1.350867071 103.7498822,HDB,BLK 628A BUKIT BATOK CENTRAL
BBM3,1.344506283 103.7599178,HDB,BLK 289H BUKIT BATOK STREET 25
BBM5,1.343242885 103.7579336,HDB,BLK 290H BUKIT BATOK STREET 24
BBM7,1.347355328 103.7436955,HDB,BLK 154A BUKIT BATOK WEST AVE 8
BBM8,1.349969285 103.7485105,HDB,BLK 622A BUKIT BATOK CENTRAL
BBM9,1.365830635 103.7517718,HDB,BLK 395A BUKIT BATOK WEST AVE 5
BE10,1.347741037 103.8532954,HDB,BLKS 168-180 BISHAN STREET 13
BE11,1.349779455 103.8530414,HDB,BLK 181-186 BISHAN STREET 13
