carpark_id,latitude,longitude,capacity,num_charging_lots
1,1.29375,103.85718,2860,2860
10,1.2995,103.84762,212,212
11,1.30151,103.83641,282,282
12,1.30216,103.83601,341,341
13,1.30236,103.8349,1172,1172
14,1.30366,103.83327,317,317
15,1.3048,103.83063,270,270
16,1.26421,103.82263,1398,1398
17,1.25017,103.83126,1632,1632
18,1.30491,103.83312,419,419
19,1.26426,103.82011,976,976
2,1.29115,103.85728,1910,1910
20,1.3071,103.83359,506,506
21,1.302,103.83975,383,383
22,1.3006,103.84191,287,287
23,1.30403,103.83206,471,471
24,1.30084,103.83872,215,215
26,1.25667,103.82012,2607,2607
27,1.30072,103.83979,260,260
29,1.282250285,103.8583003,1010,1010
3,1.29382,103.85319,949,949
4,1.29011,103.85561,810,810
43,1.3343,103.74282,590,590
5,1.29251,103.86009,1485,1485
50,1.26426,103.82164,798,798
51,1.302280071,103.84113,187,187
52,1.30048,103.83931,250,250
53,1.334847,103.746815,1210,1210
54,1.33341,103.740088,351,351
55,1.3038,103.83585,475,475
56,1.29027,103.85167,231,231
6,1.28944,103.86311,297,297
7,1.30135,103.84061,236,236
8,1.30255,103.83739,162,162
9,1.30103,103.84503,690,690
A0007,1.305328031,103.8295707,285,285
A0021,1.280790423,103.8471773,26,26
A0046,1.313892837,103.8817882,22,22
A10,1.368632982,103.844524,60,60
A100,1.377987473,103.8426025,54,54
A11,1.367035534,103.8381811,296,296
A12,1.368509827,103.8386753,198,198
A13,1.368000222,103.8368096,163,163
A15,1.36696761,103.8404175,68,68
A2,1.366237056,103.8430464,196,196
A20,1.364943381,103.8484571,204,204
A21,1.368127559,103.8463132,316,316
A24,1.364753412,103.8493977,201,201
A25,1.362769307,103.8516275,464,464
A27,1.370363052,103.8383207,237,237
A28,1.371649928,103.8374643,88,88
A29,1.367361242,103.8487183,283,283
A30,1.370989747,103.842419,22,22
A31,1.370451119,103.8436999,302,302
A33,1.369886364,103.8345405,11,11
A34,1.368356473,103.8516674,175,175
A35,1.368646393,103.8540815,378,378
A36,1.366407128,103.8552788,557,557
A37,1.368113068,103.8555566,201,201
A38,1.363963706,103.8545884,733,733
A39,1.361151022,103.8540722,250,250
A4,1.365691621,103.8411922,251,251
A40,1.362356151,103.8569821,248,248
A41,1.364936935,103.8569326,200,200
A42,1.366580182,103.8573639,110,110
A43,1.365996736,103.8592673,123,123
A44,1.367205743,103.8589905,159,159
A45,1.370917693,103.8552305,333,333
A47,1.370558167,103.8592466,257,257
A48,1.370371281,103.8546523,62,62
A49,1.371329606,103.8577971,168,168
A50,1.372522464,103.8576096,161,161
A51,1.369470739,103.8343753,42,42
A52,1.370385433,103.8469225,152,152
A53,1.370865023,103.8468773,723,723
A54,1.372434359,103.8459154,661,661
A59,1.373896221,103.8581398,183,183
